Easy_2,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier
enemy_1,0,5,0.7,
#reward,100,,,
,,,Wave 1,
enemy_1,0,10,0.4,
#reward,100,,,
,,,Wave 2,
enemy_1,0,5,0.45,
enemy_2,1,5,0.55,
enemy_1,0.5,5,0.3,
#reward,100,,,
,,,Wave 3,
enemy_1,0,7,0.4,
enemy_2,1,7,0.5,
enemy_1,0.5,7,0.35,
#reward,100,,,
,,,Wave 4,
enemy_2,0,10,0.4,0.85
enemy_1,0.5,5,0.5,0.85
#reward,100,,,
,,,Wave 5,
enemy_2,0,10,0.55,0.85
enemy_1,1,15,0.3,0.85
enemy_2,0.5,10,0.45,0.85
#reward,100,,,
,,,Wave 6,
enemy_3,0,5,0.9,0.85
enemy_2,3,20,0.4,0.85
#reward,100,,,
,,,Wave 7,
enemy_3,0,5,0.75,0.85
enemy_1,0.5,20,0.3,0.85
enemy_3,0.5,5,0.6,0.85
enemy_2,0,10,0.3,0.85
#reward,100,,,
,,,Wave 8,
enemy_3,0,10,0.5,0.85
#reward,100,,,
,,,Wave 9,
enemy_2,0,15,0.35,0.85
enemy_2,0.4,15,0.3,0.85
#horde,,,,
#reward,100,,,
,,,Wave 10,
enemy_1,0,20,0.2,0.85
enemy_4,1,5,0.7,0.85
enemy_3,1.5,10,0.5,0.85
enemy_2,1,10,0.3,0.85
#reward,200,,,
,,,Wave 11,
enemy_4,0,7,0.6,0.9
enemy_2,1,15,0.35,0.9
enemy_3,0.7,10,0.4,0.9
#reward,200,,,
,,,Wave 12,
enemy_4,0,10,0.55,1
enemy_1,0,20,0.2,1
enemy_3,1,10,0.4,1
#reward,200,,,
,,,Wave 13,
enemy_2,0,15,0.3,
enemy_1,0,20,0.3,
enemy_4,1,7,0.5,
enemy_2,1,15,0.35,
enemy_3,0.3,10,0.4,
enemy_2,0.2,10,0.3,
#horde,,,,
#reward,200,,,
,,,Wave 14,
enemy_5,0,5,0.85,
#reward,200,,,
,,,Wave 15,
enemy_1,0,15,0.1,1
enemy_5,1,7,0.75,
enemy_3,0,7,0.4,
enemy_4,0.4,7,0.45,1
#reward,200,,,
,,,Wave 16,
enemy_3,0,10,0.35,1
enemy_5,1,7,0.7,1
enemy_4,0.4,10,0.4,1
enemy_5,0.3,7,0.65,
#reward,200,,,
,,,Wave 17,
enemy_5,0,7,0.65,
enemy_4,0.3,7,0.35,
enemy_5,0.2,7,0.6,
enemy_3,0,7,0.35,
#reward,200,,,
,,,Wave 18,
enemy_1,0,20,0.3,1
enemy_2,0,20,0.1,1
#reward,200,,,
,,,Wave 19,
enemy_3,0,10,0.2,
enemy_4,0,15,0.3,
enemy_5,0,10,0.55,
enemy_4,0,15,0.25,
enemy_5,0,10,0.5,
#horde,,,,
#reward,300,,,
,,,Wave 20,
enemy_6,0,2,1.3,0.5
#reward,300,,,
,,,Wave 21,
enemy_5,0,15,0.45,
enemy_6,0.5,10,1.3,0.5
#reward,300,,,
,,,Wave 22,
enemy_7,0,2,1.3,0.5
#reward,300,,,
,,,Wave 23,
enemy_5,0,7,0.45,
enemy_4,0.1,20,0.3,
enemy_5,1,7,0.4,
enemy_4,1,15,0.25,
#horde,,,,
#reward,300,,,
,,,Wave 24,
enemy_10,0,1,1.5,0.5
#reward,300,,,
,,,Wave 25,
enemy_3,0,10,0.25,1.3
enemy_4,0,7,0.4,1.3
enemy_5,0,7,0.6,1.3
#reward,300,,,
,,,Wave 26,
enemy_6,0,10,1,1.3
enemy_4,1,15,0.35,1.3
enemy_5,0.5,10,0.55,1.3
#reward,300,,,
,,,Wave 27,
enemy_5,0,5,0.5,1.3
enemy_2,0,15,0.3,1.3
enemy_4,0,5,0.35,1.3
enemy_11,3,2,1.3,1
#reward,300,,,
,,,Wave 28,
enemy_11,0,5,1,
enemy_10,3,2,1,0.6
#reward,300,,,
,,,Wave 29,
enemy_8,0,1,1.4,0.75
enemy_4,3,15,0.3,0.75
enemy_5,0,7,0.45,0.75
enemy_11,0,10,0.8,0.75
enemy_10,0,3,0.9,0.6
#horde,,,,
#reward,400,,,
,,,Wave 30,
enemy_6,0,10,1.3,0.8
enemy_5,0,15,0.45,0.9
enemy_11,1,5,1.5,0.8
#reward,400,,,
,,,Wave 31,
enemy_11,0,4,1,0.8
enemy_7,0.5,10,1,1
#reward,400,,,
,,,Wave 32,
enemy_5,0,5,0.4,0.8
enemy_6,0,7,0.8,1
enemy_7,0.5,7,1.1,1
enemy_5,0,5,0.35,0.8
#reward,400,,,
,,,Wave 33,
enemy_7,0,10,1,1.1
#reward,400,,,
,,,Wave 34,
enemy_9,0,10,1,
#reward,400,,,
,,,Wave 35,
enemy_5,0,5,0.5,
enemy_11,0,5,1,
enemy_9,1,10,1,
enemy_5,0.1,10,0.5,
#reward,400,,,
,,,Wave 36,
enemy_7,0,7,0.9,1
enemy_5,0.1,15,0.4,1
enemy_7,1,7,0.9,1
enemy_5,0.1,10,0.4,1
enemy_10,1,7,0.8,1
#horde,,,,
#reward,400,,,
,,,Wave 37,
enemy_5,0,7,0.5,1.15
enemy_4,0,10,0.3,1.15
enemy_6,0.1,8,0.7,1.15
enemy_7,0.1,7,1,1.15
enemy_6,0.5,7,0.6,1.15
#reward,400,,,
,,,Wave 38,
enemy_7,0,5,1,1
enemy_5,0,10,0.35,1
enemy_9,0.5,5,1.1,1
enemy_7,0.7,5,0.8,1
enemy_9,1,5,0.8,
enemy_5,0,10,0.35,1
#reward,400,,,
,,,Wave 39,
enemy_9,0,5,0.75,1.15
enemy_7,0.5,7,0.6,1.15
enemy_10,2,5,1.1,1
enemy_6,1,7,0.55,1.15
enemy_7,1,7,0.5,1.15
enemy_9,1,5,0.7,1.15
enemy_11,0,15,1,
#horde,,,,
#reward,400,,,
,,,Wave 40,
enemy_6,0,5,0.4,
enemy_7,0,5,0.7,
enemy_8,0,3,1.5,
enemy_12,3,1,1.5,
enemy_6,3,5,0.4,
enemy_8,0.4,5,1.2,
enemy_9,0.3,10,0.6,
#reward,600,,,
,,,Wave 41,
enemy_6,0,7,0.5,
enemy_8,1.5,10,1.3,
enemy_6,1.5,7,0.5,
enemy_12,3,3,1.5,
#reward,600,,,
,,,Wave 42,
enemy_9,0,10,0.65,1.05
