Easy_3,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier
enemy_1,0,5,0.7,
#reward,100,,,
,,,Wave 1,
enemy_1,0,10,0.4,
#reward,100,,,
,,,Wave 2,
enemy_1,0,10,0.45,
enemy_2,1.3,5,0.9,
enemy_1,0.5,10,0.4,
#reward,100,,,
,,,Wave 3,
enemy_1,0,10,0.45,
enemy_2,1,5,0.8,
enemy_1,0.5,10,0.4,
#reward,100,,,
,,,Wave 4,
enemy_2,0,10,0.8,0.85
enemy_1,0.5,5,0.4,0.85
#reward,100,,,
,,,Wave 5,
enemy_2,0,10,0.8,0.85
enemy_1,1,15,0.3,0.85
enemy_2,0.5,10,0.7,0.85
#reward,100,,,
,,,Wave 6,
enemy_2,0,20,0.55,0.85
enemy_3,0,5,1,0.85
#reward,100,,,
,,,Wave 7,
enemy_1,0,20,0.3,0.85
enemy_3,1,5,0.65,0.85
enemy_2,0,20,0.35,0.85
enemy_3,0.5,5,0.5,0.85
#reward,100,,,
,,,Wave 8,
enemy_3,0,15,0.4,0.85
#reward,100,,,
,,,Wave 9,
enemy_2,0,15,0.35,0.85
enemy_2,0.4,25,0.2,0.85
#horde,,,,
#reward,100,,,
,,,Wave 10,
enemy_3,0,20,0.4,0.9
enemy_2,0.7,15,0.35,0.9
enemy_4,1.5,3,0.3,0.9
#reward,200,,,
,,,Wave 11,
enemy_4,0,5,0.4,0.85
enemy_3,1.5,5,0.65,0.85
enemy_2,1,10,0.3,0.85
enemy_1,1,15,0.2,0.85
#reward,200,,,
,,,Wave 12,
enemy_1,0,20,0.2,0.9
enemy_4,0,10,0.4,0.9
enemy_1,0,20,0.2,0.9
enemy_3,1,15,0.2,0.9
#reward,200,,,
,,,Wave 13,
enemy_2,0,15,0.3,0.9
enemy_1,0,15,0.3,0.9
enemy_2,1,15,0.25,0.9
enemy_4,1,20,0.3,0.9
enemy_2,0.2,10,0.35,0.9
enemy_3,0.3,10,0.4,0.9
#horde,,,,
#reward,200,,,
,,,Wave 14,
enemy_5,0,20,0.7,0.9
enemy_5,1,5,0.5,0.9
#reward,200,,,
,,,Wave 15,
enemy_5,0,5,0.6,0.9
enemy_1,1.5,10,0.1,0.9
enemy_3,0,7,0.3,0.9
enemy_4,1,7,0.5,0.9
#reward,200,,,
,,,Wave 16,
enemy_3,0,30,0.4,0.9
enemy_5,0,14,0.6,0.9
enemy_4,0.3,30,0.3,0.9
enemy_5,0.2,14,0.3,0.9
#reward,200,,,
,,,Wave 17,
enemy_3,0,20,0.2,0.9
enemy_5,1,12,0.5,0.9
enemy_4,0.4,18,0.3,0.9
enemy_5,0.3,12,0.5,0.9
#reward,200,,,
,,,Wave 18,
enemy_1,0,15,0.3,1
enemy_2,0,15,0.1,1
enemy_1,0,15,0.3,1
enemy_2,0,15,0.1,1
#reward,200,,,
,,,Wave 19,
enemy_5,0,10,0.4,
enemy_4,0.7,30,0.25,
enemy_5,0.1,15,0.35,
enemy_3,0,20,0.15,
enemy_4,0,15,0.25,
#horde,,,,
#reward,300,,,
,,,Wave 20,
enemy_6,0,2,1,1
#reward,300,,,
,,,Wave 21,
enemy_6,0,5,0.9,
enemy_5,0.5,15,0.3,
#reward,300,,,
,,,Wave 22,
enemy_7,0,2,1.3,0.85
enemy_5,0.5,15,0.4,
#reward,300,,,
,,,Wave 23,
enemy_5,0,10,0.4,
enemy_4,0.1,25,0.3,
enemy_5,1,15,0.3,
enemy_4,0,25,0.15,
#reward,300,,,
,,,Wave 24,
enemy_10,0,1,1.3,0.7
enemy_7,2,5,0.9,
#reward,300,,,
,,,Wave 25,
enemy_6,0,7,0.9,1.15
enemy_4,1.5,15,0.4,1.15
enemy_5,1,15,0.5,1.15
#reward,300,,,
,,,Wave 26,
enemy_5,0,15,0.6,1.15
enemy_3,0,10,0.4,1.15
enemy_4,0,15,0.5,1.15
enemy_5,0,15,0.6,1.15
enemy_3,0,10,0.4,1.15
enemy_4,0,15,0.5,1.15
#horde,,,,
#reward,300,,,
,,,Wave 27,
enemy_4,0,10,0.4,1.15
enemy_11,0,5,1,1
enemy_5,1,20,0.65,1.15
enemy_2,0.5,15,0.2,1.15
enemy_4,1,25,0.4,1.15
#reward,300,,,
,,,Wave 28,
enemy_11,0,7,0.6,
enemy_10,3,2,0.9,0.7
#reward,300,,,
,,,Wave 29,
enemy_8,0,2,1.4,0.8
#reward,400,,,
,,,Wave 30,
enemy_5,0,15,0.5,0.9
enemy_11,0,10,1.5,0.8
enemy_6,0.1,10,1.3,0.8
enemy_5,1,15,0.5,0.9
#horde,,,,
#reward,400,,,
,,,Wave 31,
enemy_11,0,4,0.8,0.8
enemy_7,0.5,10,0.7,0.95
#reward,400,,,
,,,Wave 32,
enemy_5,0,10,0.4,0.8
enemy_6,0,10,0.8,1
enemy_7,0.5,7,1.1,1
enemy_5,1,10,0.4,0.8
#reward,400,,,
,,,Wave 33,
enemy_7,0,15,0.95,1
#reward,400,,,
,,,Wave 34,
enemy_9,0,15,0.8,
#reward,400,,,
,,,Wave 35,
enemy_7,0,20,0.9,1
enemy_5,0.1,20,0.3,1
enemy_10,1,5,0.8,1
#reward,400,,,
,,,Wave 36,
enemy_11,0,5,1,
enemy_9,1,10,1,
enemy_5,0.1,15,0.5,
#reward,400,,,
,,,Wave 37,
enemy_6,0,8,0.7,1.15
enemy_7,0,25,1,1.15
enemy_6,0.5,8,0.6,1.15
enemy_5,0.1,20,0.5,1.15
enemy_4,0.1,15,0.3,1.15
#horde,,,,
#reward,400,,,
,,,Wave 38,
enemy_7,0,17,0.8,1
enemy_5,0,25,0.3,1
enemy_9,0.5,10,1.1,1
enemy_7,0.7,10,0.6,1
enemy_9,1,14,0.8,
enemy_5,0,25,0.3,1
#reward,400,,,
,,,Wave 39,
enemy_7,0,15,0.55,1.15
enemy_6,2,15,0.5,1.15
enemy_9,2,15,0.6,1.15
enemy_7,2,10,0.5,1.15
enemy_9,2,15,0.4,1.15
#horde,,,,
#reward,400,,,
,,,Wave 40,
enemy_8,0,5,1.2,
enemy_6,1,15,0.4,
enemy_7,0,15,0.7,
enemy_8,0,3,1.5,
enemy_9,0.3,15,0.6,
#reward,600,,,
,,,Wave 41,
enemy_8,0,20,1.3,
